"Date","2020 AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (1980-2019)","20-year Low (1980-2019)","5-year Median (2015-2019)"
"01/01/2020","59","PM2.5","Austin Webberville Rd","48-453-0021","AQS","152","23","32"
"01/02/2020","55","PM2.5","Austin North Interstate 35","48-453-1068","AQS","63","15","28"
"01/03/2020","30","Ozone","Austin Northwest","48-453-0014","AQS","59","26","31"
"01/04/2020","35","Ozone","Austin Audubon Society","48-453-0020","AQS","58","19","34"
"01/05/2020","42","Ozone","Austin Northwest","48-453-0014","AQS","57","20","31"
"01/06/2020","41","NO2","Austin North Interstate 35","48-453-1068","AQS","60","19","45"
"01/07/2020","39","NO2","Austin North Interstate 35","48-453-1068","AQS","53","15","33"
"01/08/2020","44","Ozone","Austin Audubon Society","48-453-0020","AQS","52","16","33"
"01/09/2020","31","Ozone","Austin Northwest","48-453-0014","AQS","57","19","32"
"01/10/2020","34","PM2.5","Austin Webberville Rd","48-453-0021","AQS","53","21","31"
"01/11/2020","27","Ozone","Austin Northwest","48-453-0014","AQS","61","21","29"
"01/12/2020","36","PM2.5","Austin Webberville Rd","48-453-0021","AQS","65","21","32"
"01/13/2020","49","PM2.5","Austin North Interstate 35","48-453-1068","AQS","57","15","34"
"01/14/2020","56","PM2.5","Austin Webberville Rd","48-453-0021","AQS","61","18","44"
"01/15/2020","45","PM2.5","Austin North Interstate 35","48-453-1068","AQS","56","20","37"
"01/16/2020","28","PM2.5","Austin Webberville Rd","48-453-0021","AQS","57","24","37"
"01/17/2020","25","PM2.5","Austin Webberville Rd","48-453-0021","AQS","62","18","33"
"01/18/2020","30","Ozone","Austin Northwest","48-453-0014","AQS","80","12","42"
"01/19/2020","35","Ozone","Austin Northwest","48-453-0014","AQS","99","26","39"
"01/20/2020","35","Ozone","Austin Northwest","48-453-0014","AQS","62","19","35"
"01/21/2020","38","Ozone","Austin Northwest","48-453-0014","AQS","58","19","42"
"01/22/2020","30","Ozone","Austin Northwest","48-453-0014","AQS","74","26","31"
"01/23/2020","26","PM2.5","Austin Webberville Rd","48-453-0021","AQS","79","27","33"
"01/24/2020","34","NO2","Austin North Interstate 35","48-453-1068","AQS","84","25","42"
"01/25/2020","39","PM2.5","Austin Webberville Rd","48-453-0021","AQS","76","20","37"
"01/26/2020","36","Ozone","Austin Audubon Society","48-453-0020","AQS","70","29","35"
"01/27/2020","43","PM2.5","Austin North Interstate 35","48-453-1068","AQS","96","19","38"
"01/28/2020","30","Ozone","Austin Northwest","48-453-0014","AQS","50","27","39"
"01/29/2020","33","Ozone","Austin Northwest","48-453-0014","AQS","56","27","36"
"01/30/2020","25","PM2.5","Austin Webberville Rd","48-453-0021","AQS","71","19","41"
"01/31/2020","31","PM2.5","Austin North Interstate 35","48-453-1068","AQS","68","23","45"
"02/01/2020","36","Ozone","Austin Northwest","48-453-0014","AirNow","62","21","41"
"02/02/2020","58","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","87","28","43"
"02/03/2020","36","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","70","28","47"
"02/04/2020","40","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","64","19","55"
"02/05/2020","25","Ozone","Austin Northwest","48-453-0014","AirNow","72","20","46"
"02/06/2020","35","Ozone","Austin Northwest","48-453-0014","AirNow","66","20","42"
"02/07/2020","37","Ozone","Austin Northwest","48-453-0014","AirNow","60","23","38"
"02/08/2020","37","Ozone","Austin Northwest","48-453-0014","AirNow","62","28","42"
"02/09/2020","33","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","60","19","43"
"02/10/2020","48","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","80","20","54"
"02/11/2020","23","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","64","26","51"
"02/12/2020","19","Ozone","Austin Northwest","48-453-0014","AirNow","85","25","52"
"02/13/2020","33","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","66","20","44"
"02/14/2020","35","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","90","28","44"
"02/15/2020","57","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","60","31","42"
"02/16/2020","54","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","63","22","42"
"02/17/2020","42","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","53","31","45"
"02/18/2020","52","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","90","29","45"
"02/19/2020","22","Ozone","Austin Audubon Society","48-453-0020","AirNow","60","23","45"
"02/20/2020","30","Ozone","Austin Audubon Society","48-453-0020","AirNow","55","27","35"
"02/21/2020","42","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","57","18","41"
"02/22/2020","44","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","64","26","34"
"02/23/2020","28","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","71","24","46"
"02/24/2020","35","Ozone","Austin Audubon Society","48-453-0020","AirNow","59","22","41"
"02/25/2020","39","Ozone","Austin Audubon Society","48-453-0020","AirNow","55","29","39"
"02/26/2020","36","Ozone","Austin Audubon Society","48-453-0020","AirNow","64","29","43"
"02/27/2020","42","Ozone","Austin Audubon Society","48-453-0020","AirNow","65","29","54"
"02/28/2020","26","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","75","32","49"
"03/02/2020","55","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","90","18","47"
"03/03/2020","59","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","62","24","46"
"03/04/2020","36","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","67","28","44"
"03/05/2020","37","Ozone","Austin Audubon Society","48-453-0020","AirNow","64","37","39"
"03/06/2020","43","Ozone","Austin Audubon Society","48-453-0020","AirNow","61","33","43"
"03/07/2020","45","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","59","31","43"
"03/08/2020","37","Ozone","Austin Audubon Society","48-453-0020","AirNow","61","30","37"
"03/09/2020","32","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","74","22","35"
"03/10/2020","39","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","77","23","34"
"03/11/2020","54","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","77","25","40"
"03/12/2020","45","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","65","23","45"
"03/13/2020","47","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","93","19","44"
"03/14/2020","54","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","87","28","49"
"03/15/2020","31","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","90","32","45"
"03/16/2020","42","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","57","30","47"
"03/17/2020","44","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","91","24","51"
"03/18/2020","48","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","66","26","48"
"03/19/2020","59","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","62","17","48"
"03/20/2020","30","Ozone","Austin Audubon Society","48-453-0020","AirNow","84","24","40"
"03/21/2020","26","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","74","19","47"
"03/22/2020","35","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","90","31","46"
"03/23/2020","58","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","80","30","44"
"03/24/2020","47","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","55","26","42"
"03/25/2020","54","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","112","26","47"
"03/26/2020","65","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","77","29","54"
"03/27/2020","57","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","64","31","52"
"03/28/2020","52","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","63","31","50"
"03/29/2020","53","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","72","37","45"
"03/30/2020","46","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","56","35","43"
"03/31/2020","37","Ozone","Austin Audubon Society","48-453-0020","AirNow","90","36","51"
"04/01/2020","48","Ozone","Austin Audubon Society","48-453-0020","AirNow","81","33","42"
"04/02/2020","34","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","74","35","50"
"04/03/2020","32","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","85","19","50"
"04/04/2020","30","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","77","32","44"
"04/05/2020","50","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","87","36","45"
"04/06/2020","57","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","87","31","55"
"04/07/2020","54","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","93","30","51"
"04/08/2020","69","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","84","35","54"
"04/09/2020","62","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","100","27","59"
"04/10/2020","45","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","101","32","52"
"04/11/2020","53","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","74","31","51"
"04/12/2020","52","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","93","32","45"
"04/13/2020","39","Ozone","Austin Audubon Society","48-453-0020","AirNow","115","26","35"
"04/14/2020","36","Ozone","Austin Audubon Society","48-453-0020","AirNow","87","36","39"
"04/15/2020","44","Ozone","Austin Audubon Society","48-453-0020","AirNow","108","32","47"
"04/16/2020","49","Ozone","Austin Audubon Society","48-453-0020","AirNow","90","28","43"
"04/17/2020","45","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","80","31","37"
"04/18/2020","46","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","84","27","37"
"04/19/2020","49","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","105","26","48"
"04/20/2020","52","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","84","33","53"
"04/21/2020","63","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","77","35","46"
"04/22/2020","69","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","115","31","41"
"04/23/2020","52","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","97","26","50"
